date,description,amount,category
2024-01-02,Supermarket weekly shop,-94.20,Groceries
2024-01-03,Rent January,-1200.00,Rent
2024-01-05,Netflix,-15.99,Subscriptions
2024-01-06,Train to work (monthly),-89.00,Transport
2024-01-08,Coffee and lunch,-12.50,Dining
2024-01-10,Electricity bill,-78.00,Utilities
2024-01-12,Pharmacy,-34.20,Health
2024-01-14,Restaurant dinner,-52.00,Dining
2024-01-15,Spotify,-9.99,Subscriptions
2024-01-18,Supermarket,-67.30,Groceries
2024-01-20,Gas station,-55.00,Transport
2024-01-22,Internet provider,-45.00,Utilities
2024-01-25,Online shopping,-120.00,Shopping
2024-01-28,Cinema,-28.00,Leisure
2024-02-01,Supermarket,-88.50,Groceries
2024-02-02,Rent February,-1200.00,Rent
2024-02-04,Netflix,-15.99,Subscriptions
2024-02-05,Train pass,-89.00,Transport
2024-02-07,Lunch meetings,-45.00,Dining
2024-02-10,Electricity,-72.00,Utilities
2024-02-12,Dentist checkup,-85.00,Health
2024-02-14,Valentine dinner,-95.00,Dining
2024-02-15,Spotify,-9.99,Subscriptions
2024-02-18,Supermarket,-91.20,Groceries
2024-02-20,Car service,-180.00,Transport
2024-02-22,Internet,-45.00,Utilities
2024-02-25,Clothing,-75.00,Shopping
2024-02-28,Gym membership,-35.00,Leisure
2024-03-01,Supermarket,-102.40,Groceries
2024-03-02,Rent March,-1200.00,Rent
2024-03-04,Netflix,-15.99,Subscriptions
2024-03-05,Train,-89.00,Transport
2024-03-08,Coffee and snacks,-28.00,Dining
2024-03-10,Gas bill,-65.00,Utilities
2024-03-12,Prescription,-22.00,Health
2024-03-15,Spotify,-9.99,Subscriptions
2024-03-17,Supermarket,-79.90,Groceries
2024-03-19,Uber to airport,-42.00,Transport
2024-03-22,Internet,-45.00,Utilities
2024-03-24,Books and supplies,-55.00,Shopping
2024-03-27,Concert tickets,-80.00,Leisure
2024-04-01,Supermarket,-96.00,Groceries
2024-04-02,Rent April,-1200.00,Rent
2024-04-04,Netflix,-15.99,Subscriptions
2024-04-05,Train,-89.00,Transport
2024-04-07,Brunch,-38.00,Dining
2024-04-10,Electricity,-81.00,Utilities
2024-04-14,Supermarket,-88.20,Groceries
2024-04-15,Spotify,-9.99,Subscriptions
2024-04-18,Petrol,-60.00,Transport
2024-04-22,Internet,-45.00,Utilities
2024-04-25,Household items,-45.00,Shopping
2024-04-28,Streaming film rental,-5.99,Leisure
2024-05-01,Supermarket,-104.50,Groceries
2024-05-02,Rent May,-1200.00,Rent
2024-05-04,Netflix,-15.99,Subscriptions
2024-05-05,Train,-89.00,Transport
2024-05-08,Team lunch,-35.00,Dining
2024-05-10,Utilities,-76.00,Utilities
2024-05-12,Optician,-120.00,Health
2024-05-15,Spotify,-9.99,Subscriptions
2024-05-17,Supermarket,-91.30,Groceries
2024-05-20,Bus and tram,-42.00,Transport
2024-05-22,Internet,-45.00,Utilities
2024-05-25,Garden supplies,-65.00,Shopping
2024-05-28,Sports event,-45.00,Leisure
2024-06-01,Supermarket,-89.00,Groceries
2024-06-02,Rent June,-1200.00,Rent
2024-06-04,Netflix,-15.99,Subscriptions
2024-06-05,Train,-89.00,Transport
2024-06-07,Restaurant,-58.00,Dining
2024-06-10,Electricity,-69.00,Utilities
2024-06-15,Spotify,-9.99,Subscriptions
2024-06-16,Supermarket,-97.40,Groceries
2024-06-18,Taxi,-25.00,Transport
2024-06-22,Internet,-45.00,Utilities
2024-06-24,Electronics,-150.00,Shopping
2024-06-29,Holiday activity,-120.00,Leisure
2024-07-01,Supermarket,-93.20,Groceries
2024-07-02,Rent July,-1200.00,Rent
2024-07-04,Netflix,-15.99,Subscriptions
2024-07-05,Train,-89.00,Transport
2024-07-10,Utilities,-84.00,Utilities
2024-07-12,Ice cream and cafe,-18.00,Dining
2024-07-15,Spotify,-9.99,Subscriptions
2024-07-18,Supermarket,-86.50,Groceries
2024-07-20,Parking,-35.00,Transport
2024-07-22,Internet,-45.00,Utilities
2024-07-25,Clothing sale,-42.00,Shopping
2024-07-28,Beach day,-30.00,Leisure
2024-08-01,Supermarket,-100.00,Groceries
2024-08-02,Rent August,-1200.00,Rent
2024-08-04,Netflix,-15.99,Subscriptions
2024-08-05,Train,-89.00,Transport
2024-08-08,Dinner out,-65.00,Dining
2024-08-10,Electricity,-92.00,Utilities
2024-08-15,Spotify,-9.99,Subscriptions
2024-08-17,Supermarket,-78.90,Groceries
2024-08-22,Internet,-45.00,Utilities
2024-08-24,Back to school items,-88.00,Shopping
2024-08-30,Festival ticket,-75.00,Leisure
2024-09-01,Supermarket,-95.60,Groceries
2024-09-02,Rent September,-1200.00,Rent
2024-09-04,Netflix,-15.99,Subscriptions
2024-09-05,Train,-89.00,Transport
2024-09-09,Lunch,-22.00,Dining
2024-09-10,Gas,-70.00,Utilities
2024-09-12,Physiotherapy,-65.00,Health
2024-09-15,Spotify,-9.99,Subscriptions
2024-09-18,Supermarket,-102.00,Groceries
2024-09-20,Car wash,-15.00,Transport
2024-09-22,Internet,-45.00,Utilities
2024-09-26,Furniture,-200.00,Shopping
2024-09-28,Theatre,-55.00,Leisure
2024-10-01,Supermarket,-87.30,Groceries
2024-10-02,Rent October,-1200.00,Rent
